drug_name,generic_name,dosage_form,shortage_reason,start_date,end_date,status,company,source_url,scraped_at
Cromolyn Sodium Concentrate,Cromolyn Sodium Concentrate,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.161318
Desmopressin Acetate Spray,Desmopressin Acetate Spray,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.161346
Dexamethasone Sodium Phosphate Injection,Dexamethasone Sodium Phosphate Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.161375
Dexmedetomidine Hydrochloride Injection,Dexmedetomidine Hydrochloride Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.161403
Dextrose Monohydrate 10% Injection,Dextrose Monohydrate 10% Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.161431
Dextrose Monohydrate 5% Injection,Dextrose Monohydrate 5% Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.161459
Dextrose Monohydrate 50% Injection,Dextrose Monohydrate 50% Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.161487
Dextrose Monohydrate 70% Injection,Dextrose Monohydrate 70% Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.161515
Dobutamine Hydrochloride Injection,Dobutamine Hydrochloride Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.161542
Dopamine Hydrochloride Injection,Dopamine Hydrochloride Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.161571
Echothiophate Iodide Ophthalmic Solution,Echothiophate Iodide Ophthalmic Solution,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.161599
"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection","Epinephrine Bitartrate, Lidocaine Hydrochloride Injection",,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.161627
Etomidate Injection,Etomidate Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.161655
Fentanyl Citrate Injection,Fentanyl Citrate Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.161683
Flurazepam Hydrochloride Capsule,Flurazepam Hydrochloride Capsule,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.161710
Furosemide Injection,Furosemide Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.161740
Heparin Sodium Injection,Heparin Sodium Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.161766
Hydrocortisone Sodium Succinate Injection,Hydrocortisone Sodium Succinate Injection,,,,,Resolved,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.161793
Hydromorphone Hydrochloride Injection,Hydromorphone Hydrochloride Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.161819
Hydroxocobalamin Injection,Hydroxocobalamin Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.161846
Hydroxypropyl Cellulose (1600000 Wamw) Insert,Hydroxypropyl Cellulose (1600000 Wamw) Insert,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.161872
Ketorolac Tromethamine Injection,Ketorolac Tromethamine Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.161898
Lactated Ringers Injection,Lactated Ringers Injection,,,,,Resolved,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.161925
Lidocaine Hydrochloride Injection,Lidocaine Hydrochloride Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.161951
Liraglutide Injection,Liraglutide Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.161977
Lisdexamfetamine Dimesylate Capsule,Lisdexamfetamine Dimesylate Capsule,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.162003
"Lisdexamfetamine Dimesylate Tablet, Chewable","Lisdexamfetamine Dimesylate Tablet, Chewable",,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.162029
Lorazepam Injection,Lorazepam Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.162055
Meperidine Hydrochloride Injection,Meperidine Hydrochloride Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.162081
Methamphetamine Hydrochloride Tablet,Methamphetamine Hydrochloride Tablet,,,,,Resolved,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.162108
Methotrexate Sodium Injection,Methotrexate Sodium Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.162134
"Methylphenidate Film, Extended Release","Methylphenidate Film, Extended Release",,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.162160
"Methylphenidate Hydrochloride Tablet, Extended Release","Methylphenidate Hydrochloride Tablet, Extended Release",,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.162186
Methylprednisolone Acetate Injection,Methylprednisolone Acetate Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.162212
Metronidazole Injection,Metronidazole Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.162238
Midazolam Hydrochloride Injection,Midazolam Hydrochloride Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.162264
Morphine Sulfate Injection,Morphine Sulfate Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.162290
Naltrexone Hydrochloride Tablet,Naltrexone Hydrochloride Tablet,,,,,Resolved,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.162316
Nitroglycerin Injection,Nitroglycerin Injection,,,,,Resolved,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.162343
Peginterferon alfa-2a Injection,Peginterferon alfa-2a Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.162369
Penicillin G Benzathine Injection,Penicillin G Benzathine Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.162395
Promethazine Hydrochloride Injection,Promethazine Hydrochloride Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.162422
Propranolol Hydrochloride Injection,Propranolol Hydrochloride Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.162448
Quinapril Hydrochloride Tablet,Quinapril Hydrochloride Tablet,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.162474
Quinapril/Hydrochlorothiazide Tablet,Quinapril/Hydrochlorothiazide Tablet,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.162500
Remifentanil Hydrochloride Injection,Remifentanil Hydrochloride Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.162527
Rifampin Capsule,Rifampin Capsule,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.162553
Rifampin Injection,Rifampin Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.162579
"Rifapentine Tablet, Film Coated","Rifapentine Tablet, Film Coated",,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.162605
Riluzole Oral Suspension,Riluzole Oral Suspension,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.162631
Rocuronium Bromide Injection,Rocuronium Bromide Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.162657
Ropivacaine Hydrochloride Injection,Ropivacaine Hydrochloride Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.162684
Sodium Acetate Injection,Sodium Acetate Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.162710
Sodium Bicarbonate Injection,Sodium Bicarbonate Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.162736
Sterile Water Injection,Sterile Water Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.162762
Sterile Water Irrigant,Sterile Water Irrigant,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.162788
"Streptozocin Powder, For Solution","Streptozocin Powder, For Solution",,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.162817
Sufentanil Citrate Injection,Sufentanil Citrate Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.162843
Technetium TC-99M Pyrophosphate Kit Injection,Technetium TC-99M Pyrophosphate Kit Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.162870
Triamcinolone Acetonide Injection,Triamcinolone Acetonide Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.162896
Triamcinolone Hexacetonide Injection,Triamcinolone Hexacetonide Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.162922
Valproate Sodium Injection,Valproate Sodium Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.162949
Albuterol Sulfate Solution,Albuterol Sulfate Solution,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.988060
Amino Acid Injection,Amino Acid Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.988102
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.988133
Atropine Sulfate Injection,Atropine Sulfate Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.988162
Azacitidine Injection,Azacitidine Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.988190
Bacitracin Ophthalmic Ointment,Bacitracin Ophthalmic Ointment,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.988217
Bumetanide Injection,Bumetanide Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.988244
Bupivacaine Hydrochloride Injection,Bupivacaine Hydrochloride Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.988270
"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection","Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection",,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.988297
Carboplatin Injection,Carboplatin Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.988324
"Cefotaxime Sodium Powder, for Solution","Cefotaxime Sodium Powder, for Solution",,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.988350
Clindamycin Phosphate Injection,Clindamycin Phosphate Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.988377
Clonazepam Tablet,Clonazepam Tablet,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.988403
Conivaptan Hydrochloride Injection,Conivaptan Hydrochloride Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.988429
Cromolyn Sodium Concentrate,Cromolyn Sodium Concentrate,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.988456
Desmopressin Acetate Spray,Desmopressin Acetate Spray,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.988482
Dexamethasone Sodium Phosphate Injection,Dexamethasone Sodium Phosphate Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.988508
Dexmedetomidine Hydrochloride Injection,Dexmedetomidine Hydrochloride Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.988534
Dextrose Monohydrate 10% Injection,Dextrose Monohydrate 10% Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.988561
Dextrose Monohydrate 5% Injection,Dextrose Monohydrate 5% Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.988596
Dextrose Monohydrate 50% Injection,Dextrose Monohydrate 50% Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.988622
Dextrose Monohydrate 70% Injection,Dextrose Monohydrate 70% Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.988649
Dobutamine Hydrochloride Injection,Dobutamine Hydrochloride Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.988675
Dopamine Hydrochloride Injection,Dopamine Hydrochloride Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.988701
Echothiophate Iodide Ophthalmic Solution,Echothiophate Iodide Ophthalmic Solution,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.988727
"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection","Epinephrine Bitartrate, Lidocaine Hydrochloride Injection",,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.988754
Etomidate Injection,Etomidate Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.988780
Fentanyl Citrate Injection,Fentanyl Citrate Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.988806
Flurazepam Hydrochloride Capsule,Flurazepam Hydrochloride Capsule,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.988832
Furosemide Injection,Furosemide Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.988858
Heparin Sodium Injection,Heparin Sodium Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.988884
Hydrocortisone Sodium Succinate Injection,Hydrocortisone Sodium Succinate Injection,,,,,Resolved,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.988912
Hydromorphone Hydrochloride Injection,Hydromorphone Hydrochloride Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.988938
Hydroxocobalamin Injection,Hydroxocobalamin Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.988965
Hydroxypropyl Cellulose (1600000 Wamw) Insert,Hydroxypropyl Cellulose (1600000 Wamw) Insert,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.988991
Ketorolac Tromethamine Injection,Ketorolac Tromethamine Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.989017
Lactated Ringers Injection,Lactated Ringers Injection,,,,,Resolved,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.989044
Lidocaine Hydrochloride Injection,Lidocaine Hydrochloride Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.989071
Liraglutide Injection,Liraglutide Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.989098
Lisdexamfetamine Dimesylate Capsule,Lisdexamfetamine Dimesylate Capsule,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.989124
"Lisdexamfetamine Dimesylate Tablet, Chewable","Lisdexamfetamine Dimesylate Tablet, Chewable",,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.989150
Lorazepam Injection,Lorazepam Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.989177
Meperidine Hydrochloride Injection,Meperidine Hydrochloride Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.989203
Methamphetamine Hydrochloride Tablet,Methamphetamine Hydrochloride Tablet,,,,,Resolved,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.989229
Methotrexate Sodium Injection,Methotrexate Sodium Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.989259
"Methylphenidate Film, Extended Release","Methylphenidate Film, Extended Release",,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.989285
"Methylphenidate Hydrochloride Tablet, Extended Release","Methylphenidate Hydrochloride Tablet, Extended Release",,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.989311
Methylprednisolone Acetate Injection,Methylprednisolone Acetate Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.989337
Metronidazole Injection,Metronidazole Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.989363
Midazolam Hydrochloride Injection,Midazolam Hydrochloride Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.989389
Morphine Sulfate Injection,Morphine Sulfate Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.989415
Naltrexone Hydrochloride Tablet,Naltrexone Hydrochloride Tablet,,,,,Resolved,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.989442
Nitroglycerin Injection,Nitroglycerin Injection,,,,,Resolved,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.989468
Peginterferon alfa-2a Injection,Peginterferon alfa-2a Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.989495
Penicillin G Benzathine Injection,Penicillin G Benzathine Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.989535
Promethazine Hydrochloride Injection,Promethazine Hydrochloride Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.989563
Propranolol Hydrochloride Injection,Propranolol Hydrochloride Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.989590
Quinapril Hydrochloride Tablet,Quinapril Hydrochloride Tablet,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.989616
Quinapril/Hydrochlorothiazide Tablet,Quinapril/Hydrochlorothiazide Tablet,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.989642
Remifentanil Hydrochloride Injection,Remifentanil Hydrochloride Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.989668
Rifampin Capsule,Rifampin Capsule,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.989694
Rifampin Injection,Rifampin Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.989720
"Rifapentine Tablet, Film Coated","Rifapentine Tablet, Film Coated",,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.989746
Riluzole Oral Suspension,Riluzole Oral Suspension,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.989773
Rocuronium Bromide Injection,Rocuronium Bromide Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.989799
Ropivacaine Hydrochloride Injection,Ropivacaine Hydrochloride Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.989825
Sodium Acetate Injection,Sodium Acetate Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.989851
Sodium Bicarbonate Injection,Sodium Bicarbonate Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.989877
Sterile Water Injection,Sterile Water Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.989903
Sterile Water Irrigant,Sterile Water Irrigant,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.989934
"Streptozocin Powder, For Solution","Streptozocin Powder, For Solution",,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.989960
Sufentanil Citrate Injection,Sufentanil Citrate Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.989986
Technetium TC-99M Pyrophosphate Kit Injection,Technetium TC-99M Pyrophosphate Kit Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.990012
Triamcinolone Acetonide Injection,Triamcinolone Acetonide Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.990038
Triamcinolone Hexacetonide Injection,Triamcinolone Hexacetonide Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.990064
Valproate Sodium Injection,Valproate Sodium Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:57:27.990090
Acetaminophen; Oxycodone Hydrochloride Tablet,Acetaminophen; Oxycodone Hydrochloride Tablet,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Acetaminophen; Oxycodone Hydrochloride Tablet&st=c&tab=tabs-1,2026-03-05T23:34:03.348822
Adalimumab-adaz Injection,Adalimumab-adaz Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Adalimumab-adaz Injection&st=c&tab=tabs-1,2026-03-05T23:34:03.348864
Adalimumab-afzb Injection,Adalimumab-afzb Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Adalimumab-afzb Injection&st=c&tab=tabs-1,2026-03-05T23:34:03.348880
Adalimumab-ryvk Kit,Adalimumab-ryvk Kit,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Adalimumab-ryvk Kit&st=c&tab=tabs-1,2026-03-05T23:34:03.348891
Adefovir Dipivoxil Tablet,Adefovir Dipivoxil Tablet,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Adefovir Dipivoxil Tablet&st=c&tab=tabs-1,2026-03-05T23:34:03.348900
Allopurinol Tablet,Allopurinol Tablet,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Allopurinol Tablet&st=c&tab=tabs-1,2026-03-05T23:34:03.348909
Amantadine Hydrochloride Capsule,Amantadine Hydrochloride Capsule,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Amantadine Hydrochloride Capsule&st=c&tab=tabs-1,2026-03-05T23:34:03.348918
Amantadine Hydrochloride Tablet,Amantadine Hydrochloride Tablet,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Amantadine Hydrochloride Tablet&st=c&tab=tabs-1,2026-03-05T23:34:03.348927
Amlodipine Besylate; Benazepril Hydrochloride Capsule,Amlodipine Besylate; Benazepril Hydrochloride Capsule,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Amlodipine Besylate; Benazepril Hydrochloride Capsule&st=c&tab=tabs-1,2026-03-05T23:34:03.348936
